Year,Quarter,Month,Country,StateOrProvince,Revenue,Quantity
2002,1,3,US,PA,232,24
2002,1,3,US,RI,25,4
2002,1,3,US,SC,10,2
2002,1,3,US,TN,124.93,12
2002,1,3,US,TX,263.11,31
2002,1,3,US,UT,50,8
2002,1,3,US,VA,35,4
2002,1,3,US,VT,15,2
2002,1,3,US,WA,80,12
2002,1,3,US,WI,50,7
2002,1,3,US,WY,25,3
2002,2,4,US,AK,20,4
2002,2,4,US,AL,77.74,6
2002,2,4,US,AR,40,6
2002,2,4,US,AZ,60,9
2002,2,4,US,CA,502.61,63
2002,2,4,US,CO,25,4
2002,2,4,US,CT,40,6
2002,2,4,US,DC,23.94,2
2002,2,4,US,FL,265,44
2002,2,4,US,GA,176.11,19
2002,2,4,US,IA,138.93,8
2002,2,4,US,IL,259.94,35
2002,2,4,US,IN,154.85,12
2002,2,4,US,KS,30,5
2002,2,4,US,KY,108.92,10
2002,2,4,US,LA,25,4
2002,2,4,US,MA,55,10
2002,2,4,US,MD,25,4
2002,2,4,US,ME,23.98,2
2002,2,4,US,MI,161.94,24
2002,2,4,US,MN,89.97,11
2002,2,4,US,MO,65,9
2002,2,4,US,MS,191.29,14
2002,2,4,US,MT,54.94,6
2002,2,4,US,NC,134.77,19
2002,2,4,US,NE,36.78,4
2002,2,4,US,NJ,125,18
2002,2,4,US,NM,84.95,8
2002,2,4,US,NV,30,6
2002,2,4,US,NY,283.92,35
2002,2,4,US,OH,271.88,12
2002,2,4,US,OK,55,9
2002,2,4,US,OR,45,7
2002,2,4,US,PA,254.9,28
2002,2,4,US,RI,25,4
2002,2,4,US,SD,38.93,2
2002,2,4,US,TN,164.92,17
2002,2,4,US,TX,355.9,42
2002,2,4,US,UT,15,2
2002,2,4,US,VA,75,13
2002,2,4,US,VT,10,2
2002,2,4,US,WA,128.96,12
2002,2,4,US,WI,60.95,8
2002,2,4,US,WV,59.56,8
2002,2,4,US,WY,15,2
2002,2,5,US,AK,53.97,4
2002,2,5,US,AL,130,18
2002,2,5,US,AR,65,10
2002,2,5,US,AZ,10,2
2002,2,5,US,CA,568.78,70
2002,2,5,US,CO,15,2
2002,2,5,US,CT,20,2
2002,2,5,US,DC,35,6
2002,2,5,US,FL,218.94,29
2002,2,5,US,GA,214.47,26
2002,2,5,US,HI,20,2
2002,2,5,US,IA,65,11
2002,2,5,US,ID,25,4
2002,2,5,US,IL,348.89,38
2002,2,5,US,IN,101.92,10
2002,2,5,US,KS,95.91,5
2002,2,5,US,KY,10,2
2002,2,5,US,LA,115.74,8
2002,2,5,US,MA,189.12,23
2002,2,5,US,MD,90,12
2002,2,5,US,ME,20,2
2002,2,5,US,MI,263.98,39
2002,2,5,US,MN,164.04,13
2002,2,5,US,MO,148.94,15
2002,2,5,US,MS,30,6
2002,2,5,US,NC,91.78,16
2002,2,5,US,ND,72.95,7
2002,2,5,US,NE,30,4
2002,2,5,US,NH,20,4
2002,2,5,US,NJ,301.6,28
2002,2,5,US,NM,40,6
2002,2,5,US,NY,269.92,36
2002,2,5,US,OH,222.97,29
2002,2,5,US,OK,45,6
2002,2,5,US,PA,177.89,17
2002,2,5,US,SC,53.98,2
2002,2,5,US,TN,68.98,7
2002,2,5,US,TX,327.94,43
2002,2,5,US,UT,5,1
2002,2,5,US,VA,120,19
2002,2,5,US,VT,34.18,2
2002,2,5,US,WA,85,14
2002,2,5,US,WI,100,14
2002,2,5,US,WV,25,4
2002,2,5,US,WY,15,2
2002,2,6,US,AK,15,2
2002,2,6,US,AL,30.96,4
2002,2,6,US,AR,25,4
2002,2,6,US,AZ,100,13
2002,2,6,US,CA,455.92,47
2002,2,6,US,CO,107.88,11
2002,2,6,US,CT,62.97,8
2002,2,6,US,DC,52.35,2
2002,2,6,US,DE,20,3
2002,2,6,US,FL,161.14,16
2002,2,6,US,GA,65,9
2002,2,6,US,IA,70,10
2002,2,6,US,IL,110,18
2002,2,6,US,IN,89.97,7
2002,2,6,US,KS,38.97,2
2002,2,6,US,KY,65,10
2002,2,6,US,LA,35,6
2002,2,6,US,MA,171.95,21
2002,2,6,US,MD,80,11
2002,2,6,US,ME,55,8
2002,2,6,US,MI,84.98,11
2002,2,6,US,MN,115.91,10
2002,2,6,US,MO,281.82,28
2002,2,6,US,MS,25,4
2002,2,6,US,MT,25,4
2002,2,6,US,NC,161.7,13
2002,2,6,US,ND,50,7
2002,2,6,US,NE,58.94,6
2002,2,6,US,NJ,109.96,14
2002,2,6,US,NM,53.97,7
2002,2,6,US,NV,15,2
2002,2,6,US,NY,192.94,28
2002,2,6,US,OH,181.84,20
2002,2,6,US,OK,89.86,7
2002,2,6,US,OR,85.98,12
2002,2,6,US,PA,138.71,19
2002,2,6,US,RI,15,2
2002,2,6,US,SC,105.92,11
2002,2,6,US,TN,76.95,9
2002,2,6,US,TX,250.95,31
2002,2,6,US,UT,15,2
2002,2,6,US,VA,132.96,11
2002,2,6,US,VT,25,4
2002,2,6,US,WA,35,6
2002,2,6,US,WI,172.95,19
2002,2,6,US,WV,40,7
2002,3,7,US,AL,35,5
